municipal_status,code_of_locality,city,index_population_2017_1,index_value_2017_2,rank_2017_3,cluster_2017_4,rank_2015_3,cluster_2015_4,difference_cluster_2017_minus_cluster_2015,city_eng,perc_first_dose,perc_second_dose,active_cases,active_per_10000,city_rank,rank2017
68,NA,נווה מדבר,9108.001475364936,-2.81469634060272,1,1,1,1,0,NEVE MIDBAR,NA,NA,NA,NA,NA,1
99,1192,ערערה-בנגב,16988.313211277986,-2.535383880306282,2,1,5,1,0,AR'ARA-BANEGEV,24.78,18.93,22,11.6,4.2,1
99,1054,תל שבע,19747.857940782393,-2.329179649213727,3,1,2,1,0,TEL SHEVA,25.39,21.17,24,11.1,5.3,1
99,1059,כסיפה,20194.994321600763,-2.2546451363555478,4,1,8,1,0,KUSEIFE,17.49,14.52,26,11.6,4.9,1
0,3797,מודיעין עילית,70080.51250377278,-2.234353170362519,5,1,7,1,0,MODI'IN ILLIT,21.81,16.71,NA,NA,1.3,1
99,1286,שגב-שלום,9896.756467210056,-2.2146682597959666,6,1,3,1,0,SEGEV-SHALOM,23.23,19.26,16,14.1,5.5,1
99,1303,חורה,20782.207497128307,-2.202794780986118,7,1,6,1,0,HURA,19.5,15.87,NA,NA,2.2,1
69,NA,אל קסום,10013.961926462247,-2.1380324184320814,8,1,4,1,0,AL-KASUM,NA,NA,NA,NA,NA,1
99,1060,לקיה,12857.371165333934,-2.0118409062268823,9,1,9,1,0,LAQYE,22.88,18.08,49,33.5,6.8,1
0,1161,רהט,66743.98315476852,-1.9161508564362022,10,1,11,1,0,RAHAT,34.51,28.55,85,11.5,3.7,1
0,3780,ביתר עילית,54557.07666623191,-1.9076024177427613,11,1,10,1,0,BETAR ILLIT,20.94,17.15,NA,NA,2.4,1
99,3660,עמנואל,3440.3579995286036,-1.5656990451683843,12,2,12,2,0,IMMANU'EL,21.03,18.16,0,0,2,2
99,922,רכסים,11822.439917781003,-1.509341465060881,13,2,15,2,0,REKHASIM,31.37,26.22,NA,NA,1.9,2
99,511,עילוט,7942.014485470943,-1.4991025081766671,14,2,20,2,0,ILUT,45.96,39.85,NA,NA,2.6,2
99,541,ג'סר א-זרקא,14438.429077349992,-1.4903590850092177,15,2,13,2,0,JISR AZ-ZARQA,54,48.03,NA,NA,2.2,2
99,510,כפר מנדא,19326.110492470343,-1.4455669363864352,16,2,16,2,0,KAFAR MANDA,47.47,40.81,NA,NA,2.1,2
0,2710,אום אל-פחם,54239.89489785286,-1.4126285515372186,17,2,18,2,0,UMM AL-FAHM,49.65,43.39,39,6.9,2.8,2
0,6100,בני ברק,192245.8967324837,-1.3919555302199493,18,2,19,2,0,BENE BERAQ,30.27,25.14,23,1.1,2.4,2
0,1309,אלעד,46895.99242820738,-1.3800467006766772,19,2,14,2,0,EL'AD,24.86,20.53,NA,NA,2.3,2
65,NA,אל - בטוף,7762.286654141059,-1.3655946292875474,20,2,17,2,0,AL-BATOF,NA,NA,NA,NA,NA,2
0,2610,בית שמש,114256.62773287662,-1.3376783387167979,21,2,22,2,0,BET SHEMESH,29.38,25.73,47,3.6,2.4,2
99,538,שעב,6799.948863684732,-1.2317022686498982,22,2,24,2,0,SHA'AB,55.85,49.82,0,0,2,2
99,1327,מעלה עירון,14582.80328691206,-1.2291500886936946,23,2,25,2,0,MA'ALE IRON,47.83,42.34,17,11.1,4.6,2
99,532,עין מאהל,12841.934643355777,-1.220970202832352,24,2,27,2,0,EIN MAHEL,54.74,47.26,NA,NA,2.1,2
99,4001,בוקעאתא,6484.9880966683795,-1.2137410349696096,25,2,31,2,0,BUQ'ATA,62.81,50.59,16,24,6.6,2
99,998,ביר אל-מכסור,9117.661907700667,-1.2091443438380878,26,2,21,2,0,BIR EL-MAKSUR,57.29,53.24,0,0,2,2
99,520,משהד,8091.228055905498,-1.1943922672820821,27,2,33,2,0,MESHHED,50.96,45.2,NA,NA,4.4,2
99,522,נחף,12628.690333012479,-1.1813682738823361,28,2,23,2,0,NAHEF,49.31,43.89,0,0,1.9,2
0,8000,צפת,35241.27574208221,-1.1808292879373896,29,2,34,2,0,ZEFAT,36.24,33.31,NA,NA,2.9,2
99,1326,"בסמ""ה",9536.054254960685,-1.1803101615926737,30,2,32,2,0,BASMA,50.52,45.04,NA,NA,3,2
99,482,בועיינה-נוג'ידאת,9466.810381657917,-1.1702252296095097,31,2,29,2,0,BU'EINE-NUJEIDAT,56.29,49.88,NA,NA,2.5,2
99,509,כפר כנא,21797.79970368792,-1.1562844924003686,32,2,30,2,0,KAFAR KANNA,53.31,47.94,NA,NA,2.5,2
99,4203,מסעדה,3591.6531956256513,-1.1444284203896862,33,2,39,2,0,MAS'ADE,59.01,52.06,NA,NA,2.8,2
99,483,בענה,8110.242460597584,-1.1423466651525354,34,2,26,2,0,BI'NE,49.7,42.61,NA,NA,5,2
99,1137,קריית יערים,4746.531116350222,-1.1134545187441565,35,2,35,2,0,QIRYAT YE'ARIM,NA,NA,NA,NA,NA,2
99,975,זרזיר,7792.286076139826,-1.1091952685356818,36,2,28,2,0,ZARZIR,49.82,45.22,NA,NA,2,2
99,627,ג'לג'וליה,9730.067757890076,-1.061803548055641,37,3,36,2,1,JALJULYE,47.5,40.77,NA,NA,2,3
0,3000,ירושלים,899119.3045098572,-1.040957140517578,38,3,50,2,1,JERUSALEM,45.31,39.97,467,4.9,1.6,3
99,4502,עין קנייא,2032.9225850608298,-1.039489161916179,39,3,37,2,1,EIN QINIYYE,65.33,58.66,NA,NA,4.5,3
99,46,יבנאל,4144.798377905727,-1.0261069318523732,40,3,56,3,0,YAVNE'EL,33.65,30.85,NA,NA,3.2,3
99,4501,ע'ג'ר,2558.7819174928427,-1.024855626901869,41,3,46,2,1,GHAJAR,46.84,43.69,0,0,2,3
99,542,ריינה,18665.45276058918,-1.01590575335378,42,3,53,2,1,REINE,41.54,37.13,NA,NA,3.3,3
99,1292,ג'דיידה-מכר,20612.750412441317,-0.992903254340367,43,3,41,2,1,JUDEIDE-MAKER,55.19,49.09,NA,NA,3,3
0,531,עראבה,24971.920509479718,-0.9682283394322886,44,3,42,2,1,ARRABE,50.86,45.16,NA,NA,3.5,3
99,504,כאבול,13649.303846550216,-0.9575322686572613,45,3,44,2,1,KABUL,47.92,43.41,NA,NA,1.8,3
99,481,מגאר,22261.299678112384,-0.9435507644504081,46,3,47,2,1,MUGHAR,59.2,54.13,25,10.7,4.5,3
99,962,טובא-זנגרייה,6530.333696248363,-0.9368103986835371,47,3,38,2,1,TUBA-ZANGARIYYE,NA,NA,NA,NA,NA,3
99,978,כעביה-טבאש-חג'אג'רה,5205.02724814071,-0.9306365573801777,48,3,43,2,1,KA'ABIYYE-TABBASH-HAJAJRE,48.32,43.52,NA,NA,2.9,3
0,8900,טמרה,32996.660717827646,-0.9223990278990576,49,3,40,2,1,TAMRA,52.63,46.85,19,5.5,3.7,3
99,499,יפיע,18676.15980976662,-0.9088921981726761,50,3,58,3,0,YAFI,49.75,44.34,NA,NA,2.3,3
99,537,פוריידיס,12888.707030262169,-0.9042052568463412,51,3,49,2,1,FUREIDIS,54.8,49.57,NA,NA,3.2,3
99,4201,מג'דל שמס,10930.21469933484,-0.8980029252773221,52,3,62,3,0,MAJDAL SHAMS,56.35,48.11,NA,NA,3.5,3
66,NA,בוסתן אל -מרג',7710.750108898934,-0.8842753855400328,53,3,48,2,1,BUSTAN EL-MARJ,NA,NA,NA,NA,NA,3
0,638,קלנסווה,22370.197238801138,-0.8722027243570247,54,3,45,2,1,QALANSAWE,45.95,39.84,NA,NA,3.8,3
99,944,בסמת טבעון,7734.873385332106,-0.8675649481431172,55,3,52,2,1,BASMAT TAB'UN,48.48,44.81,NA,NA,2.2,3
99,516,מג'ד אל-כרום,14929.901338910644,-0.8595793270116472,56,3,51,2,1,MAJD AL-KURUM,51.11,44.1,NA,NA,2.3,3
99,498,טורעאן,13703.045370475082,-0.8552164394922444,57,3,54,3,0,TUR'AN,54.4,49.17,NA,NA,2.8,3
99,478,אכסאל,14148.424152298201,-0.8531527294688248,58,3,66,3,0,IKSAL,54.94,49.15,NA,NA,2.1,3
0,2730,טייבה,42363.98534616157,-0.8221433437552953,59,3,55,3,0,TAYIBE,45.15,40.03,53,11.9,4.1,3
99,3611,קריית ארבע,7339.054895787593,-0.8145412594292778,60,3,63,3,0,QIRYAT ARBA,NA,NA,NA,NA,NA,3
99,913,שבלי - אום אל-גנם,5896.150795729103,-0.7971739886724131,61,3,57,3,0,SHIBLI-UMM AL-GHANAM,59.54,53.74,NA,NA,2,3
0,634,כפר קאסם,22743.216931250234,-0.7931535356326685,62,3,65,3,0,KAFAR QASEM,47.39,39.17,NA,NA,2.5,3
99,473,אבו סנאן,13694.227719162407,-0.7921041984563575,63,3,71,3,0,ABU SINAN,53.34,47.94,16,11.2,2.2,3
99,502,ירכא,16347.336062956912,-0.787394737510776,64,3,59,3,0,YIRKA,50.22,42.28,NA,NA,2.2,3
99,472,אבו גוש,7248.002771444262,-0.7825133463995217,65,3,69,3,0,ABU GHOSH,61.37,53.6,22,28,3.8,3
0,8800,שפרעם,40867.92968310875,-0.7815152680112539,66,3,67,3,0,SHEFAR'AM,55.95,51.18,NA,NA,1.6,3
99,1296,כסרא-סמיע,8514.631226856167,-0.7798983366144648,67,3,60,3,0,KISRA-SUMEI,56.24,49.75,NA,NA,2.8,3
99,529,אעבלין,12846.810566207458,-0.771198249168938,68,3,68,3,0,I'BILLIN,53.16,48.52,0,0,2,3
99,637,ערערה,24527.58828183852,-0.7568500188182006,69,3,72,3,0,AR'ARA,41.03,35.88,NA,NA,1.8,3
99,492,דייר חנא,10101.507604187824,-0.7445551290428175,70,3,64,3,0,DEIR HANNA,56.14,50.26,NA,NA,2,3
0,7500,סח'נין,30492.519043559896,-0.7236274902779135,71,3,70,3,0,SAKHNIN,56.27,50.12,NA,NA,2.5,3
0,246,נתיבות,33779.48533135699,-0.7157593726800388,72,3,77,3,0,NETIVOT,42.48,37.95,NA,NA,1.3,3
0,31,אופקים,27612.86687628771,-0.7032211210064716,73,3,76,3,0,OFAQIM,51.53,47.27,NA,NA,1.7,3
0,6000,באקה אל-גרביה,28995.557267525295,-0.7019318659714512,74,3,74,3,0,BAQA AL-GHARBIYYE,51.79,46.02,NA,NA,3.2,3
0,7300,נצרת,76512.07574815783,-0.6968718299233901,75,3,83,3,0,NAZARETH,54.8,49.02,40,5.1,2.4,3
99,99,מצפה רמון,5239.733809225777,-0.6900553710586356,76,3,84,3,0,MIZPE RAMON,51.77,48.99,NA,NA,2.6,3
99,633,כפר ברא,3489.317084175268,-0.6678081867465219,77,3,73,3,0,KAFAR BARA,50.03,43.38,0,0,2,3
99,490,דייר אל-אסד,12105.769481072788,-0.6362763611680646,78,3,61,3,0,DEIR AL-ASAD,53.34,46.67,NA,NA,2.6,3
99,489,דבורייה,10154.41776305625,-0.6252864783557343,79,3,78,3,0,DABURIYYA,NA,NA,NA,NA,NA,3
